"","scenario","year","variable","value","units"
"1","GCAM",1750,"CO2_concentration",277.309117699513,"ppmv CO2"
"2","GCAM",1751,"CO2_concentration",277.335763879206,"ppmv CO2"
"3","GCAM",1752,"CO2_concentration",277.362672665396,"ppmv CO2"
"4","GCAM",1753,"CO2_concentration",277.389928633595,"ppmv CO2"
"5","GCAM",1754,"CO2_concentration",277.416866037635,"ppmv CO2"
"6","GCAM",1755,"CO2_concentration",277.442811460026,"ppmv CO2"
"7","GCAM",1756,"CO2_concentration",277.4664087713,"ppmv CO2"
"8","GCAM",1757,"CO2_concentration",277.466315431599,"ppmv CO2"
"9","GCAM",1758,"CO2_concentration",277.471263543619,"ppmv CO2"
"10","GCAM",1759,"CO2_concentration",277.486711949198,"ppmv CO2"
"11","GCAM",1760,"CO2_concentration",277.508775215383,"ppmv CO2"
"12","GCAM",1761,"CO2_concentration",277.533655472078,"ppmv CO2"
"13","GCAM",1762,"CO2_concentration",277.560328910298,"ppmv CO2"
"14","GCAM",1763,"CO2_concentration",277.495099487469,"ppmv CO2"
"15","GCAM",1764,"CO2_concentration",277.42941950081,"ppmv CO2"
"16","GCAM",1765,"CO2_concentration",277.407937583892,"ppmv CO2"
"17","GCAM",1766,"CO2_concentration",277.416999440832,"ppmv CO2"
"18","GCAM",1767,"CO2_concentration",277.408828479435,"ppmv CO2"
"19","GCAM",1768,"CO2_concentration",277.390295703292,"ppmv CO2"
"20","GCAM",1769,"CO2_concentration",277.394438884789,"ppmv CO2"
"21","GCAM",1770,"CO2_concentration",277.417922981938,"ppmv CO2"
"22","GCAM",1771,"CO2_concentration",277.438339299253,"ppmv CO2"
"23","GCAM",1772,"CO2_concentration",277.464264475953,"ppmv CO2"
"24","GCAM",1773,"CO2_concentration",277.49865673669,"ppmv CO2"
"25","GCAM",1774,"CO2_concentration",277.537814256161,"ppmv CO2"
"26","GCAM",1775,"CO2_concentration",277.577733896338,"ppmv CO2"
"27","GCAM",1776,"CO2_concentration",277.618568910294,"ppmv CO2"
"28","GCAM",1777,"CO2_concentration",277.659913438031,"ppmv CO2"
"29","GCAM",1778,"CO2_concentration",277.700695000564,"ppmv CO2"
"30","GCAM",1779,"CO2_concentration",277.740667850476,"ppmv CO2"
"31","GCAM",1780,"CO2_concentration",277.780605297288,"ppmv CO2"
"32","GCAM",1781,"CO2_concentration",277.819546229204,"ppmv CO2"
"33","GCAM",1782,"CO2_concentration",277.858825691267,"ppmv CO2"
"34","GCAM",1783,"CO2_concentration",277.898074621129,"ppmv CO2"
"35","GCAM",1784,"CO2_concentration",277.754701923254,"ppmv CO2"
"36","GCAM",1785,"CO2_concentration",277.366203753454,"ppmv CO2"
"37","GCAM",1786,"CO2_concentration",277.114059670238,"ppmv CO2"
"38","GCAM",1787,"CO2_concentration",277.008703582785,"ppmv CO2"
"39","GCAM",1788,"CO2_concentration",277.002322924627,"ppmv CO2"
"40","GCAM",1789,"CO2_concentration",277.051006284084,"ppmv CO2"
"41","GCAM",1790,"CO2_concentration",277.125931050425,"ppmv CO2"
"42","GCAM",1791,"CO2_concentration",277.210780628152,"ppmv CO2"
"43","GCAM",1792,"CO2_concentration",277.299192576494,"ppmv CO2"
"44","GCAM",1793,"CO2_concentration",277.387914086287,"ppmv CO2"
"45","GCAM",1794,"CO2_concentration",277.475406997157,"ppmv CO2"
"46","GCAM",1795,"CO2_concentration",277.560221644997,"ppmv CO2"
"47","GCAM",1796,"CO2_concentration",277.64403275158,"ppmv CO2"
"48","GCAM",1797,"CO2_concentration",277.714881827357,"ppmv CO2"
"49","GCAM",1798,"CO2_concentration",277.770402069408,"ppmv CO2"
"50","GCAM",1799,"CO2_concentration",277.830141712397,"ppmv CO2"
"51","GCAM",1800,"CO2_concentration",277.901061753189,"ppmv CO2"
"52","GCAM",1801,"CO2_concentration",277.979346440446,"ppmv CO2"
"53","GCAM",1802,"CO2_concentration",278.061709487892,"ppmv CO2"
