"","scenario","year","variable","value","units"
"1","GCAM_SSP1",1750,"CO2_concentration",277.313630922801,"ppmv CO2"
"2","GCAM_SSP1",1751,"CO2_concentration",277.341905377048,"ppmv CO2"
"3","GCAM_SSP1",1752,"CO2_concentration",277.376871032789,"ppmv CO2"
"4","GCAM_SSP1",1753,"CO2_concentration",277.419003656796,"ppmv CO2"
"5","GCAM_SSP1",1754,"CO2_concentration",277.461658529273,"ppmv CO2"
"6","GCAM_SSP1",1755,"CO2_concentration",277.502325574477,"ppmv CO2"
"7","GCAM_SSP1",1756,"CO2_concentration",277.539803417564,"ppmv CO2"
"8","GCAM_SSP1",1757,"CO2_concentration",277.56562795009,"ppmv CO2"
"9","GCAM_SSP1",1758,"CO2_concentration",277.585385737368,"ppmv CO2"
"10","GCAM_SSP1",1759,"CO2_concentration",277.610757029516,"ppmv CO2"
"11","GCAM_SSP1",1760,"CO2_concentration",277.641404741115,"ppmv CO2"
"12","GCAM_SSP1",1761,"CO2_concentration",277.674163518984,"ppmv CO2"
"13","GCAM_SSP1",1762,"CO2_concentration",277.707393972903,"ppmv CO2"
"14","GCAM_SSP1",1763,"CO2_concentration",277.704340777173,"ppmv CO2"
"15","GCAM_SSP1",1764,"CO2_concentration",277.674940671015,"ppmv CO2"
"16","GCAM_SSP1",1765,"CO2_concentration",277.667295640559,"ppmv CO2"
"17","GCAM_SSP1",1766,"CO2_concentration",277.687647130247,"ppmv CO2"
"18","GCAM_SSP1",1767,"CO2_concentration",277.710452097064,"ppmv CO2"
"19","GCAM_SSP1",1768,"CO2_concentration",277.72304497081,"ppmv CO2"
"20","GCAM_SSP1",1769,"CO2_concentration",277.741396796612,"ppmv CO2"
"21","GCAM_SSP1",1770,"CO2_concentration",277.773922503042,"ppmv CO2"
"22","GCAM_SSP1",1771,"CO2_concentration",277.809603044709,"ppmv CO2"
"23","GCAM_SSP1",1772,"CO2_concentration",277.844705894936,"ppmv CO2"
"24","GCAM_SSP1",1773,"CO2_concentration",277.883141220318,"ppmv CO2"
"25","GCAM_SSP1",1774,"CO2_concentration",277.92435670475,"ppmv CO2"
"26","GCAM_SSP1",1775,"CO2_concentration",277.965573614168,"ppmv CO2"
"27","GCAM_SSP1",1776,"CO2_concentration",278.005794956542,"ppmv CO2"
"28","GCAM_SSP1",1777,"CO2_concentration",278.045293050585,"ppmv CO2"
"29","GCAM_SSP1",1778,"CO2_concentration",278.083653137587,"ppmv CO2"
"30","GCAM_SSP1",1779,"CO2_concentration",278.120771460623,"ppmv CO2"
"31","GCAM_SSP1",1780,"CO2_concentration",278.157101618169,"ppmv CO2"
"32","GCAM_SSP1",1781,"CO2_concentration",278.192714894399,"ppmv CO2"
"33","GCAM_SSP1",1782,"CO2_concentration",278.228133747958,"ppmv CO2"
"34","GCAM_SSP1",1783,"CO2_concentration",278.263562677658,"ppmv CO2"
"35","GCAM_SSP1",1784,"CO2_concentration",278.227741708845,"ppmv CO2"
"36","GCAM_SSP1",1785,"CO2_concentration",278.05299780428,"ppmv CO2"
"37","GCAM_SSP1",1786,"CO2_concentration",277.876680887322,"ppmv CO2"
"38","GCAM_SSP1",1787,"CO2_concentration",277.81236012907,"ppmv CO2"
"39","GCAM_SSP1",1788,"CO2_concentration",277.838204240074,"ppmv CO2"
"40","GCAM_SSP1",1789,"CO2_concentration",277.917328380046,"ppmv CO2"
"41","GCAM_SSP1",1790,"CO2_concentration",278.021676017565,"ppmv CO2"
"42","GCAM_SSP1",1791,"CO2_concentration",278.13429843226,"ppmv CO2"
"43","GCAM_SSP1",1792,"CO2_concentration",278.247401796,"ppmv CO2"
"44","GCAM_SSP1",1793,"CO2_concentration",278.357844193235,"ppmv CO2"
"45","GCAM_SSP1",1794,"CO2_concentration",278.464767117457,"ppmv CO2"
"46","GCAM_SSP1",1795,"CO2_concentration",278.568020435595,"ppmv CO2"
"47","GCAM_SSP1",1796,"CO2_concentration",278.668699221178,"ppmv CO2"
"48","GCAM_SSP1",1797,"CO2_concentration",278.763551158965,"ppmv CO2"
"49","GCAM_SSP1",1798,"CO2_concentration",278.849076726912,"ppmv CO2"
"50","GCAM_SSP1",1799,"CO2_concentration",278.933262149475,"ppmv CO2"
"51","GCAM_SSP1",1800,"CO2_concentration",279.024895471811,"ppmv CO2"
"52","GCAM_SSP1",1801,"CO2_concentration",279.124195693853,"ppmv CO2"
"53","GCAM_SSP1",1802,"CO2_concentration",279.22851825634,"ppmv CO2"
"54","GCAM_SSP1",1803,"CO2_concentration",279.33691365642,"ppmv CO2"
"55","GCAM_SSP1",1804,"CO2_concentration",279.446870241837,"ppmv CO2"
"56","GCAM_SSP1",1805,"CO2_concentration",279.559157763739,"ppmv CO2"
"57","GCAM_SSP1",1806,"CO2_concentration",279.673121139054,"ppmv CO2"
"58","GCAM_SSP1",1807,"CO2_concentration",279.78318844208,"ppmv CO2"
"59","GCAM_SSP1",1808,"CO2_concentration",279.89080620242,"ppmv CO2"
"60","GCAM_SSP1",1809,"CO2_concentration",279.995845636781,"ppmv CO2"
"61","GCAM_SSP1",1810,"CO2_concentration",279.963646719422,"ppmv CO2"
"62","GCAM_SSP1",1811,"CO2_concentration",279.833218508018,"ppmv CO2"
"63","GCAM_SSP1",1812,"CO2_concentration",279.779149628415,"ppmv CO2"
"64","GCAM_SSP1",1813,"CO2_concentration",279.838472733259,"ppmv CO2"
"65","GCAM_SSP1",1814,"CO2_concentration",279.969665275313,"ppmv CO2"
"66","GCAM_SSP1",1815,"CO2_concentration",280.134465302245,"ppmv CO2"
"67","GCAM_SSP1",1816,"CO2_concentration",280.179860260983,"ppmv CO2"
"68","GCAM_SSP1",1817,"CO2_concentration",280.047575964666,"ppmv CO2"
"69","GCAM_SSP1",1818,"CO2_concentration",279.947744369632,"ppmv CO2"
"70","GCAM_SSP1",1819,"CO2_concentration",280.005349338905,"ppmv CO2"
"71","GCAM_SSP1",1820,"CO2_concentration",280.174363316931,"ppmv CO2"
"72","GCAM_SSP1",1821,"CO2_concentration",280.397054325786,"ppmv CO2"
"73","GCAM_SSP1",1822,"CO2_concentration",280.633672916378,"ppmv CO2"
"74","GCAM_SSP1",1823,"CO2_concentration",280.866250983057,"ppmv CO2"
"75","GCAM_SSP1",1824,"CO2_concentration",281.078824072439,"ppmv CO2"
"76","GCAM_SSP1",1825,"CO2_concentration",281.279305074105,"ppmv CO2"
"77","GCAM_SSP1",1826,"CO2_concentration",281.485685253339,"ppmv CO2"
"78","GCAM_SSP1",1827,"CO2_concentration",281.698127235319,"ppmv CO2"
"79","GCAM_SSP1",1828,"CO2_concentration",281.913449309251,"ppmv CO2"
"80","GCAM_SSP1",1829,"CO2_concentration",282.128263324669,"ppmv CO2"
"81","GCAM_SSP1",1830,"CO2_concentration",282.34189063562,"ppmv CO2"
"82","GCAM_SSP1",1831,"CO2_concentration",282.557260597839,"ppmv CO2"
"83","GCAM_SSP1",1832,"CO2_concentration",282.680881477169,"ppmv CO2"
"84","GCAM_SSP1",1833,"CO2_concentration",282.734012616937,"ppmv CO2"
"85","GCAM_SSP1",1834,"CO2_concentration",282.839107386453,"ppmv CO2"
"86","GCAM_SSP1",1835,"CO2_concentration",283.020153305584,"ppmv CO2"
"87","GCAM_SSP1",1836,"CO2_concentration",283.182676395011,"ppmv CO2"
"88","GCAM_SSP1",1837,"CO2_concentration",283.31759856686,"ppmv CO2"
"89","GCAM_SSP1",1838,"CO2_concentration",283.498081580244,"ppmv CO2"
"90","GCAM_SSP1",1839,"CO2_concentration",283.735198606867,"ppmv CO2"
"91","GCAM_SSP1",1840,"CO2_concentration",284.005727285425,"ppmv CO2"
"92","GCAM_SSP1",1841,"CO2_concentration",284.290876042848,"ppmv CO2"
"93","GCAM_SSP1",1842,"CO2_concentration",284.580054909598,"ppmv CO2"
"94","GCAM_SSP1",1843,"CO2_concentration",284.869395797623,"ppmv CO2"
"95","GCAM_SSP1",1844,"CO2_concentration",285.157803315803,"ppmv CO2"
"96","GCAM_SSP1",1845,"CO2_concentration",285.446351171951,"ppmv CO2"
"97","GCAM_SSP1",1846,"CO2_concentration",285.735842150984,"ppmv CO2"
"98","GCAM_SSP1",1847,"CO2_concentration",286.019133959999,"ppmv CO2"
"99","GCAM_SSP1",1848,"CO2_concentration",286.299980057454,"ppmv CO2"
"100","GCAM_SSP1",1849,"CO2_concentration",286.586419751657,"ppmv CO2"
"101","GCAM_SSP1",1850,"CO2_concentration",286.882004910411,"ppmv CO2"
"102","GCAM_SSP1",1851,"CO2_concentration",287.179063985087,"ppmv CO2"
"103","GCAM_SSP1",1852,"CO2_concentration",287.497626972856,"ppmv CO2"
"104","GCAM_SSP1",1853,"CO2_concentration",287.819657688824,"ppmv CO2"
"105","GCAM_SSP1",1854,"CO2_concentration",288.124676242937,"ppmv CO2"
"106","GCAM_SSP1",1855,"CO2_concentration",288.411604568227,"ppmv CO2"
"107","GCAM_SSP1",1856,"CO2_concentration",288.683997606345,"ppmv CO2"
"108","GCAM_SSP1",1857,"CO2_concentration",288.965120605868,"ppmv CO2"
"109","GCAM_SSP1",1858,"CO2_concentration",289.228780648965,"ppmv CO2"
"110","GCAM_SSP1",1859,"CO2_concentration",289.484979481951,"ppmv CO2"
"111","GCAM_SSP1",1860,"CO2_concentration",289.749233764377,"ppmv CO2"
"112","GCAM_SSP1",1861,"CO2_concentration",289.981206840114,"ppmv CO2"
"113","GCAM_SSP1",1862,"CO2_concentration",290.207432286273,"ppmv CO2"
"114","GCAM_SSP1",1863,"CO2_concentration",290.392263949992,"ppmv CO2"
"115","GCAM_SSP1",1864,"CO2_concentration",290.552225122329,"ppmv CO2"
"116","GCAM_SSP1",1865,"CO2_concentration",290.722599404149,"ppmv CO2"
"117","GCAM_SSP1",1866,"CO2_concentration",290.908612975444,"ppmv CO2"
"118","GCAM_SSP1",1867,"CO2_concentration",291.108324175416,"ppmv CO2"
"119","GCAM_SSP1",1868,"CO2_concentration",291.306433921135,"ppmv CO2"
"120","GCAM_SSP1",1869,"CO2_concentration",291.49768816097,"ppmv CO2"
"121","GCAM_SSP1",1870,"CO2_concentration",291.69296882058,"ppmv CO2"
"122","GCAM_SSP1",1871,"CO2_concentration",291.914333440295,"ppmv CO2"
"123","GCAM_SSP1",1872,"CO2_concentration",292.134100548166,"ppmv CO2"
"124","GCAM_SSP1",1873,"CO2_concentration",292.38222117486,"ppmv CO2"
"125","GCAM_SSP1",1874,"CO2_concentration",292.598499019831,"ppmv CO2"
"126","GCAM_SSP1",1875,"CO2_concentration",292.819314065987,"ppmv CO2"
"127","GCAM_SSP1",1876,"CO2_concentration",293.045626460571,"ppmv CO2"
"128","GCAM_SSP1",1877,"CO2_concentration",293.266139808706,"ppmv CO2"
"129","GCAM_SSP1",1878,"CO2_concentration",293.467226437732,"ppmv CO2"
"130","GCAM_SSP1",1879,"CO2_concentration",293.675001421487,"ppmv CO2"
"131","GCAM_SSP1",1880,"CO2_concentration",293.879115448073,"ppmv CO2"
"132","GCAM_SSP1",1881,"CO2_concentration",294.097714691051,"ppmv CO2"
"133","GCAM_SSP1",1882,"CO2_concentration",294.304427063006,"ppmv CO2"
"134","GCAM_SSP1",1883,"CO2_concentration",294.530341666511,"ppmv CO2"
"135","GCAM_SSP1",1884,"CO2_concentration",294.722475261901,"ppmv CO2"
"136","GCAM_SSP1",1885,"CO2_concentration",294.841044119414,"ppmv CO2"
"137","GCAM_SSP1",1886,"CO2_concentration",294.927148086789,"ppmv CO2"
"138","GCAM_SSP1",1887,"CO2_concentration",295.074078291401,"ppmv CO2"
"139","GCAM_SSP1",1888,"CO2_concentration",295.291172121055,"ppmv CO2"
"140","GCAM_SSP1",1889,"CO2_concentration",295.525785549637,"ppmv CO2"
