"","year","variable","value","units","scenario","source","db"
"1",1745,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"2",1746,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"3",1747,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"4",1748,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"5",1749,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"6",1750,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"7",1751,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"8",1752,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"9",1753,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"10",1754,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"11",1755,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"12",1756,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"13",1757,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"14",1758,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"15",1759,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"16",1760,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"17",1761,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"18",1762,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"19",1763,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"20",1764,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"21",1765,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"22",1766,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"23",1767,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"24",1768,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"25",1769,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"26",1770,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"27",1771,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"28",1772,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"29",1773,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"30",1774,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"31",1775,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"32",1776,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"33",1777,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"34",1778,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"35",1779,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"36",1780,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"37",1781,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"38",1782,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"39",1783,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"40",1784,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"41",1785,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"42",1786,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"43",1787,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"44",1788,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"45",1789,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"46",1790,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"47",1791,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"48",1792,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"49",1793,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"50",1794,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"51",1795,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"52",1796,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"53",1797,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"54",1798,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"55",1799,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"56",1800,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"57",1801,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"58",1802,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"59",1803,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"60",1804,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"61",1805,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"62",1806,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"63",1807,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"64",1808,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"65",1809,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"66",1810,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"67",1811,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"68",1812,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"69",1813,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"70",1814,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"71",1815,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"72",1816,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"73",1817,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"74",1818,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"75",1819,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"76",1820,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"77",1821,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"78",1822,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"79",1823,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"80",1824,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"81",1825,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"82",1826,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"83",1827,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"84",1828,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"85",1829,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"86",1830,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"87",1831,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"88",1832,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"89",1833,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"90",1834,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"91",1835,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"92",1836,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"93",1837,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"94",1838,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"95",1839,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"96",1840,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"97",1841,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"98",1842,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"99",1843,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"100",1844,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"101",1845,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"102",1846,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"103",1847,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"104",1848,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"105",1849,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"106",1850,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"107",1851,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"108",1852,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"109",1853,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"110",1854,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"111",1855,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
"112",1856,"CCl4_emissions",0.024856862,"Gg","GCAM","GCAM-hector","database_basexdbGCAM"
