"","year","variable","value","units","scenario","source","db"
"1",1745,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"2",1746,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"3",1747,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"4",1748,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"5",1749,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"6",1750,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"7",1751,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"8",1752,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"9",1753,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"10",1754,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"11",1755,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"12",1756,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"13",1757,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"14",1758,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"15",1759,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"16",1760,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"17",1761,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"18",1762,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"19",1763,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
"20",1764,"CCl4_emissions",0.024856862,"Gg","GCAM_SSP1","GCAM-hector","database_basexdb"
