"","scenario","year","variable","value","units"
"1","Reference",1750,"CO2_concentration",277.313630922801,"ppmv CO2"
"2","Reference",1751,"CO2_concentration",277.341905377048,"ppmv CO2"
"3","Reference",1752,"CO2_concentration",277.376871032789,"ppmv CO2"
"4","Reference",1753,"CO2_concentration",277.419003656796,"ppmv CO2"
"5","Reference",1754,"CO2_concentration",277.461658529273,"ppmv CO2"
"6","Reference",1755,"CO2_concentration",277.502325574477,"ppmv CO2"
"7","Reference",1756,"CO2_concentration",277.539803417564,"ppmv CO2"
"8","Reference",1757,"CO2_concentration",277.56562795009,"ppmv CO2"
"9","Reference",1758,"CO2_concentration",277.585385737368,"ppmv CO2"
"10","Reference",1759,"CO2_concentration",277.610757029516,"ppmv CO2"
"11","Reference",1760,"CO2_concentration",277.641404741115,"ppmv CO2"
"12","Reference",1761,"CO2_concentration",277.674163518984,"ppmv CO2"
"13","Reference",1762,"CO2_concentration",277.707393972903,"ppmv CO2"
"14","Reference",1763,"CO2_concentration",277.704340777173,"ppmv CO2"
"15","Reference",1764,"CO2_concentration",277.674940671015,"ppmv CO2"
"16","Reference",1765,"CO2_concentration",277.667295640559,"ppmv CO2"
"17","Reference",1766,"CO2_concentration",277.687647130247,"ppmv CO2"
"18","Reference",1767,"CO2_concentration",277.710452097064,"ppmv CO2"
"19","Reference",1768,"CO2_concentration",277.72304497081,"ppmv CO2"
"20","Reference",1769,"CO2_concentration",277.741396796612,"ppmv CO2"
"21","Reference",1770,"CO2_concentration",277.773922503042,"ppmv CO2"
"22","Reference",1771,"CO2_concentration",277.809603044709,"ppmv CO2"
"23","Reference",1772,"CO2_concentration",277.844705894936,"ppmv CO2"
"24","Reference",1773,"CO2_concentration",277.883141220318,"ppmv CO2"
"25","Reference",1774,"CO2_concentration",277.92435670475,"ppmv CO2"
"26","Reference",1775,"CO2_concentration",277.965573614168,"ppmv CO2"
"27","Reference",1776,"CO2_concentration",278.005794956542,"ppmv CO2"
"28","Reference",1777,"CO2_concentration",278.045293050585,"ppmv CO2"
"29","Reference",1778,"CO2_concentration",278.083653137587,"ppmv CO2"
"30","Reference",1779,"CO2_concentration",278.120771460623,"ppmv CO2"
"31","Reference",1780,"CO2_concentration",278.157101618169,"ppmv CO2"
"32","Reference",1781,"CO2_concentration",278.192714894399,"ppmv CO2"
"33","Reference",1782,"CO2_concentration",278.228133747958,"ppmv CO2"
"34","Reference",1783,"CO2_concentration",278.263562677658,"ppmv CO2"
"35","Reference",1784,"CO2_concentration",278.227741708845,"ppmv CO2"
"36","Reference",1785,"CO2_concentration",278.05299780428,"ppmv CO2"
"37","Reference",1786,"CO2_concentration",277.876680887322,"ppmv CO2"
"38","Reference",1787,"CO2_concentration",277.81236012907,"ppmv CO2"
"39","Reference",1788,"CO2_concentration",277.838204240074,"ppmv CO2"
"40","Reference",1789,"CO2_concentration",277.917328380046,"ppmv CO2"
"41","Reference",1790,"CO2_concentration",278.021676017565,"ppmv CO2"
"42","Reference",1791,"CO2_concentration",278.13429843226,"ppmv CO2"
"43","Reference",1792,"CO2_concentration",278.247401796,"ppmv CO2"
"44","Reference",1793,"CO2_concentration",278.357844193235,"ppmv CO2"
"45","Reference",1794,"CO2_concentration",278.464767117457,"ppmv CO2"
"46","Reference",1795,"CO2_concentration",278.568020435595,"ppmv CO2"
"47","Reference",1796,"CO2_concentration",278.668699221178,"ppmv CO2"
"48","Reference",1797,"CO2_concentration",278.763551158965,"ppmv CO2"
"49","Reference",1798,"CO2_concentration",278.849076726912,"ppmv CO2"
"50","Reference",1799,"CO2_concentration",278.933262149475,"ppmv CO2"
"51","Reference",1800,"CO2_concentration",279.024895471811,"ppmv CO2"
"52","Reference",1801,"CO2_concentration",279.124195693853,"ppmv CO2"
"53","Reference",1802,"CO2_concentration",279.22851825634,"ppmv CO2"
"54","Reference",1803,"CO2_concentration",279.33691365642,"ppmv CO2"
"55","Reference",1804,"CO2_concentration",279.446870241837,"ppmv CO2"
"56","Reference",1805,"CO2_concentration",279.559157763739,"ppmv CO2"
"57","Reference",1806,"CO2_concentration",279.673121139054,"ppmv CO2"
"58","Reference",1807,"CO2_concentration",279.78318844208,"ppmv CO2"
"59","Reference",1808,"CO2_concentration",279.89080620242,"ppmv CO2"
"60","Reference",1809,"CO2_concentration",279.995845636781,"ppmv CO2"
"61","Reference",1810,"CO2_concentration",279.963646719422,"ppmv CO2"
"62","Reference",1811,"CO2_concentration",279.833218508018,"ppmv CO2"
"63","Reference",1812,"CO2_concentration",279.779149628415,"ppmv CO2"
"64","Reference",1813,"CO2_concentration",279.838472733259,"ppmv CO2"
"65","Reference",1814,"CO2_concentration",279.969665275313,"ppmv CO2"
"66","Reference",1815,"CO2_concentration",280.134465302245,"ppmv CO2"
"67","Reference",1816,"CO2_concentration",280.179860260983,"ppmv CO2"
"68","Reference",1817,"CO2_concentration",280.047575964666,"ppmv CO2"
"69","Reference",1818,"CO2_concentration",279.947744369632,"ppmv CO2"
"70","Reference",1819,"CO2_concentration",280.005349338905,"ppmv CO2"
"71","Reference",1820,"CO2_concentration",280.174363316931,"ppmv CO2"
"72","Reference",1821,"CO2_concentration",280.397054325786,"ppmv CO2"
"73","Reference",1822,"CO2_concentration",280.633672916378,"ppmv CO2"
"74","Reference",1823,"CO2_concentration",280.866250983057,"ppmv CO2"
"75","Reference",1824,"CO2_concentration",281.078824072439,"ppmv CO2"
"76","Reference",1825,"CO2_concentration",281.279305074105,"ppmv CO2"
"77","Reference",1826,"CO2_concentration",281.485685253339,"ppmv CO2"
"78","Reference",1827,"CO2_concentration",281.698127235319,"ppmv CO2"
"79","Reference",1828,"CO2_concentration",281.913449309251,"ppmv CO2"
"80","Reference",1829,"CO2_concentration",282.128263324669,"ppmv CO2"
"81","Reference",1830,"CO2_concentration",282.34189063562,"ppmv CO2"
"82","Reference",1831,"CO2_concentration",282.557260597839,"ppmv CO2"
"83","Reference",1832,"CO2_concentration",282.680881477169,"ppmv CO2"
"84","Reference",1833,"CO2_concentration",282.734012616937,"ppmv CO2"
"85","Reference",1834,"CO2_concentration",282.839107386453,"ppmv CO2"
"86","Reference",1835,"CO2_concentration",283.020153305584,"ppmv CO2"
"87","Reference",1836,"CO2_concentration",283.182676395011,"ppmv CO2"
"88","Reference",1837,"CO2_concentration",283.31759856686,"ppmv CO2"
"89","Reference",1838,"CO2_concentration",283.498081580244,"ppmv CO2"
"90","Reference",1839,"CO2_concentration",283.735198606867,"ppmv CO2"
"91","Reference",1840,"CO2_concentration",284.005727285425,"ppmv CO2"
"92","Reference",1841,"CO2_concentration",284.290876042848,"ppmv CO2"
"93","Reference",1842,"CO2_concentration",284.580054909598,"ppmv CO2"
"94","Reference",1843,"CO2_concentration",284.869395797623,"ppmv CO2"
"95","Reference",1844,"CO2_concentration",285.157803315803,"ppmv CO2"
"96","Reference",1845,"CO2_concentration",285.446351171951,"ppmv CO2"
"97","Reference",1846,"CO2_concentration",285.735842150984,"ppmv CO2"
"98","Reference",1847,"CO2_concentration",286.019133959999,"ppmv CO2"
"99","Reference",1848,"CO2_concentration",286.299980057454,"ppmv CO2"
"100","Reference",1849,"CO2_concentration",286.586419751657,"ppmv CO2"
"101","Reference",1850,"CO2_concentration",286.882004910411,"ppmv CO2"
"102","Reference",1851,"CO2_concentration",287.179063985087,"ppmv CO2"
"103","Reference",1852,"CO2_concentration",287.497626972856,"ppmv CO2"
"104","Reference",1853,"CO2_concentration",287.819657688824,"ppmv CO2"
"105","Reference",1854,"CO2_concentration",288.124676242937,"ppmv CO2"
"106","Reference",1855,"CO2_concentration",288.411604568227,"ppmv CO2"
"107","Reference",1856,"CO2_concentration",288.683997606345,"ppmv CO2"
"108","Reference",1857,"CO2_concentration",288.965120605868,"ppmv CO2"
"109","Reference",1858,"CO2_concentration",289.228780648965,"ppmv CO2"
"110","Reference",1859,"CO2_concentration",289.484979481951,"ppmv CO2"
"111","Reference",1860,"CO2_concentration",289.749233764377,"ppmv CO2"
"112","Reference",1861,"CO2_concentration",289.981206840114,"ppmv CO2"
"113","Reference",1862,"CO2_concentration",290.207432286273,"ppmv CO2"
"114","Reference",1863,"CO2_concentration",290.392263949992,"ppmv CO2"
"115","Reference",1864,"CO2_concentration",290.552225122329,"ppmv CO2"
"116","Reference",1865,"CO2_concentration",290.722599404149,"ppmv CO2"
"117","Reference",1866,"CO2_concentration",290.908612975444,"ppmv CO2"
"118","Reference",1867,"CO2_concentration",291.108324175416,"ppmv CO2"
"119","Reference",1868,"CO2_concentration",291.306433921135,"ppmv CO2"
"120","Reference",1869,"CO2_concentration",291.49768816097,"ppmv CO2"
"121","Reference",1870,"CO2_concentration",291.69296882058,"ppmv CO2"
"122","Reference",1871,"CO2_concentration",291.914333440295,"ppmv CO2"
"123","Reference",1872,"CO2_concentration",292.134100548166,"ppmv CO2"
"124","Reference",1873,"CO2_concentration",292.38222117486,"ppmv CO2"
"125","Reference",1874,"CO2_concentration",292.598499019831,"ppmv CO2"
"126","Reference",1875,"CO2_concentration",292.819314065987,"ppmv CO2"
"127","Reference",1876,"CO2_concentration",293.045626460571,"ppmv CO2"
"128","Reference",1877,"CO2_concentration",293.266139808706,"ppmv CO2"
"129","Reference",1878,"CO2_concentration",293.467226437732,"ppmv CO2"
"130","Reference",1879,"CO2_concentration",293.675001421487,"ppmv CO2"
"131","Reference",1880,"CO2_concentration",293.879115448073,"ppmv CO2"
"132","Reference",1881,"CO2_concentration",294.097714691051,"ppmv CO2"
"133","Reference",1882,"CO2_concentration",294.304427063006,"ppmv CO2"
"134","Reference",1883,"CO2_concentration",294.530341666511,"ppmv CO2"
"135","Reference",1884,"CO2_concentration",294.722475261901,"ppmv CO2"
"136","Reference",1885,"CO2_concentration",294.841044119414,"ppmv CO2"
"137","Reference",1886,"CO2_concentration",294.927148086789,"ppmv CO2"
"138","Reference",1887,"CO2_concentration",295.074078291401,"ppmv CO2"
"139","Reference",1888,"CO2_concentration",295.291172121055,"ppmv CO2"
"140","Reference",1889,"CO2_concentration",295.525785549637,"ppmv CO2"
"141","Reference",1890,"CO2_concentration",295.783782866995,"ppmv CO2"
"142","Reference",1891,"CO2_concentration",296.082096147609,"ppmv CO2"
"143","Reference",1892,"CO2_concentration",296.391952311389,"ppmv CO2"
"144","Reference",1893,"CO2_concentration",296.684336716418,"ppmv CO2"
"145","Reference",1894,"CO2_concentration",297.002329035038,"ppmv CO2"
"146","Reference",1895,"CO2_concentration",297.326994710289,"ppmv CO2"
"147","Reference",1896,"CO2_concentration",297.656805978524,"ppmv CO2"
"148","Reference",1897,"CO2_concentration",297.976983492802,"ppmv CO2"
"149","Reference",1898,"CO2_concentration",298.318456608799,"ppmv CO2"
"150","Reference",1899,"CO2_concentration",298.655518185933,"ppmv CO2"
"151","Reference",1900,"CO2_concentration",299.01353397531,"ppmv CO2"
"152","Reference",1901,"CO2_concentration",299.380489077942,"ppmv CO2"
"153","Reference",1902,"CO2_concentration",299.749922785238,"ppmv CO2"
"154","Reference",1903,"CO2_concentration",300.124882496567,"ppmv CO2"
"155","Reference",1904,"CO2_concentration",300.4706152206,"ppmv CO2"
"156","Reference",1905,"CO2_concentration",300.802285397385,"ppmv CO2"
"157","Reference",1906,"CO2_concentration",301.196318144795,"ppmv CO2"
"158","Reference",1907,"CO2_concentration",301.610238421122,"ppmv CO2"
"159","Reference",1908,"CO2_concentration",302.035302794109,"ppmv CO2"
